taxon,ranges
Ferania_seiboldii,0
Mintonophis_pakistanicus,0
Dieurostus_dussumieri,0
Miralia_alternans,1
Homalophis_doriae_DSM2983,1
Hypsiscopus_matannensis,1
Hypsiscopus_plumbea,2
Gyiophis_salweenensis,1
Myanophis_thanlyinensis,1
Myrrophis_chinensis,1
Myrrophis_bennettii,2
Enhydris_chanardi,1
Enhydris_subtaeniata,1
Enhydris_enhydris,1
Enhydris_innominata,1
Enhydris_longicauda,1
Enhydris_jagorii,1
Bitia_hydroides,2
Fordonia_leucobalia,2
Cantoria_violacea,2
Gerarda_prevostiana,2
Erpeton_tentaculatum,1
Myron_richardsonii,2
Pseudoferania_polylepis,1
Phytolopsis_punctata,1
Raclitia_indica,1
Subsessor_bocourti,2
Homalopsis_nigroventralis,1
Homalopsis_mereljcoxi,1
Homalopsis_buccata,1
Homalopsis_semizonata,1
Cerberus_australis,0
Cerberus_rynchops,0
Cerberus_dunsoni,2
Cerberus_microlepis,1
Cerberus_schneiderii,0
